Filament_Type,Moisture_Content_Percent,Drying_Duration_Hours_At_80C,Z_Axis_Tensile_Strength_MPa,Elongation_At_Break_Percent,Surface_Finish_Rating_1to5,Micro_Voiding_Observed
PA6-GF25,0.05,12.0,38.2,2.8,5.0,False
PA6-GF25,0.12,8.0,34.5,2.4,4.5,False
PA6-GF25,0.45,4.0,26.1,1.8,3.0,True
PA6-GF25,1.25,0.0,15.4,1.1,1.5,True
PA6-GF25,2.10,0.0,9.2,0.8,1.0,True
Nylon-CF30,0.03,12.0,35.1,1.9,5.0,False
Nylon-CF30,0.09,8.0,32.4,1.6,4.5,False
Nylon-CF30,0.38,4.0,22.8,1.2,3.2,True
Nylon-CF30,1.10,0.0,13.2,0.8,2.0,True
Nylon-CF30,1.95,0.0,7.5,0.5,1.0,True
PETG,0.02,6.0,42.4,4.2,5.0,False
PETG,0.08,4.0,38.6,3.8,4.5,False
PETG,0.22,2.0,29.1,2.9,3.5,True
PETG,0.65,0.0,18.3,1.6,2.0,True
PETG,1.12,0.0,11.5,0.9,1.5,True
PLA,0.01,4.0,32.1,3.1,5.0,False
PLA,0.05,2.0,30.5,2.8,4.8,False
PLA,0.15,0.0,24.2,2.1,4.0,False
PLA,0.48,0.0,14.8,1.2,2.5,True
PLA,0.85,0.0,8.3,0.7,1.5,True
